id,title,total_views
19,Morfea manifestiĝo,44
18,Scienca Instinkto ĉe beboj,42
5,Kelkaj tagoj antaŭ… (kaj la antaŭaj),13
14,La virgulino,12
1,Jen mia starling-ŝava klavarfasono,10
3,Ĝi estis estinta,7
17,Pri homeopatio,6
2,La logiko de la starling-ŝava alfabeto,6
6,La unua Bicikla Tago,5
10,Vira memmortigado,4
11,Polena alergio kaj printempa depresio,4
7,Pri kio estas psiĥologia disociado,4
8,De Contemptu Mundi [Traduko],4
9,Ci(r)kloj,3
12,Antropologo en Marso [Traduko],2
16,La vojo de Wasson al Eleŭziso [Traduko],2
4,Historio de la ŝava kaj ŝavidaj alfabetoj,2
13,Spongoformaj Encefalopatioj,1
